-1 1:1 2:0 3:0.99539 4:-0.05889 5:0.85243 6:0.02306 7:0.83398 8:-0.37708 9:1 10:0.0376 11:0.85243 12:-0.17755 13:0.59755 14:-0.44945 15:0.60536 16:-0.38223 17:0.84356 18:-0.38542 19:0.58212 20:-0.32192 21:0.56971 22:-0.29674 23:0.36946 24:-0.47357 25:0.56811 26:-0.51171 27:0.41078 28:-0.46168 29:0.21266 30:-0.3409 31:0.42267 32:-0.54487 33:0.18641 34:-0.453 
-1 1:0.37409 2:1 3:0.22464 4:1 5:-0.01947 6:0.37681 7:0.15942 8:1 9:-0.33333 10:0.91033 11:0.26585 12:0.8913 13:0.63496 14:1 15:-0.43025 16:0.58424 17:0.02672 18:1 19:0.35507 20:1 21:0.60598 22:1 23:0.27038 24:1 25:0.08424 26:0.66938 27:-1 28:1 29:0.3913 30:1 31:0.10598 32:0.84783 33:0 34:1 
1 1:-0.07329 2:0.80355 3:-0.22021 4:0.94578 5:0.2336 6:0.86747 7:-0.02174 8:0.96414 9:-0.39056 10:1 11:0.27376 12:0.99933 13:0.0415 14:1 15:-0.08668 16:0.84371 17:-0.24598 18:0.9575 19:0.04384 20:1 21:0.05489 22:1 23:0.33266 24:0.98762 25:0.04317 26:1 27:0.07764 28:1 29:0.02477 30:1 31:0.28046 32:1 33:0 34:1 
-1 1:-1 2:1 3:0 4:0 5:0.65625 6:1 7:-1 8:1 9:-1 10:1 11:-1 12:1 13:1 14:1 15:1 16:1 17:1 18:1 19:-1 20:1 21:1 22:1 23:1 24:1 25:-1 26:1 27:-1 28:1 29:-1 30:1 31:-1 32:1 33:0 34:0 
1 1:0.03446 2:0.98816 3:-0.35222 4:0.9357 5:-1 6:0.25773 7:-0.93296 8:0.41778 9:-1 10:0.41366 11:-0.97491 12:-0.37671 13:-0.76339 14:-0.73083 15:-0.42822 16:-0.97907 17:-0.58634 18:-0.39046 19:0.40268 20:-1 21:0.77092 22:-0.79135 23:1 24:-0.43872 25:0.80541 26:0.20619 27:1 28:0.43019 29:0.82021 30:0.81309 31:0.67784 32:1 33:0 34:1 
-1 1:-1 2:1 3:-1 4:1 5:0 6:0 7:0.5 8:1 9:1 10:1 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:1 19:-1 20:1 21:1 22:1 23:1 24:1 25:1 26:1 27:-1 28:1 29:-1 30:1 31:1 32:1 33:0 34:1 
1 1:0.75837 2:0.71493 3:0.85611 4:0.74389 5:0.67149 6:0.85611 7:0.71374 8:0.89502 9:0.68326 10:0.89593 11:0.59457 12:1 13:0.61267 14:1 15:0.53846 16:1 17:0.65701 18:1 19:0.31674 20:1 21:0.38643 22:1 23:0.28778 24:1 25:0.25068 26:1 27:0.26968 28:1 29:0.18281 30:1 31:0.03529 32:1 33:0 34:1 
-1 1:-1 2:1 3:0 4:0 5:-1 6:-1 7:-1 8:1 9:-1 10:1 11:-1 12:1 13:1 14:-0.75 15:-1 16:1 17:-1 18:1 19:1 20:-1 21:0 22:0 23:0 24:0 25:-1 26:1 27:-1 28:-1 29:1 30:1 31:-1 32:1 33:0 34:0 
1 1:0.86285 2:0.09048 3:0.86835 4:0.13756 5:0.86061 6:0.24944 7:0.83796 8:0.33401 9:0.74689 10:0.40615 11:0.76197 12:0.48339 13:0.6882 14:0.54473 15:0.7314 16:0.69003 17:0.69065 18:0.73242 19:0.58794 20:0.8282 21:0.52517 22:0.86265 23:0.46281 24:0.92867 25:0.35052 26:0.98044 27:0.27451 28:0.96026 29:0.19279 30:0.9676 31:0.0862 32:0.96087 33:0 34:1 
-1 1:0 2:0 3:0 4:0 5:0 6:0 7:0.63492 8:0.7619 9:0.27381 10:0.73413 11:0 12:0 13:0 14:0 15:0.78175 16:0.46429 17:0.19444 18:0.21032 19:-0.24206 20:0.20635 21:0 22:0 23:0 24:0 25:0 26:0 27:0.69841 28:-0.32937 29:0 30:0 31:0.38889 32:0.69444 33:0 34:1 
1 1:0.75243 2:0.33381 3:0.71689 4:0.47027 5:0.72684 6:0.49538 7:0.69435 8:0.59417 9:0.63942 10:0.66643 11:0.62758 12:0.79578 13:0.59962 14:0.80644 15:0.58801 16:0.75906 17:0.50391 18:0.89126 19:0.42881 20:0.94575 21:0.38261 22:1 23:0.34826 24:1 25:0.28453 26:1 27:0.19498 28:1 29:0.10827 30:1 31:0.0507 32:1 33:0 34:1 
-1 1:-1 2:1 3:0 4:0 5:1 6:1 7:-1 8:1 9:-1 10:1 11:-1 12:-1 13:-1 14:1 15:1 16:1 17:1 18:1 19:-1 20:1 21:1 22:1 23:1 24:1 25:-1 26:1 27:-1 28:1 29:0 30:0 31:1 32:1 33:0 34:0 
1 1:0.62658 2:0.40442 3:0.63636 4:0.45312 5:0.60932 6:0.53952 7:0.6099 8:0.58903 9:0.59723 10:0.67077 11:0.58129 12:0.70331 13:0.56282 14:0.794 15:0.46994 16:0.78619 17:0.46059 18:0.81939 19:0.39749 20:0.91118 21:0.37639 22:0.92745 23:0.30889 24:0.98703 25:0.27921 26:1 27:0.16159 28:1 29:0.11982 30:1 31:0.04078 32:1 33:0 34:1 
-1 1:1 2:-1 3:-1 4:-1 5:1 6:-1 7:1 8:1 9:-1 10:1 11:1 12:-1 13:1 14:-1 15:1 16:-1 17:-1 18:1 19:1 20:1 21:1 22:1 23:1 24:1 25:1 26:1 27:1 28:1 29:-1 30:1 31:1 32:1 33:0 34:0 
1 1:1 2:-0.81383 3:1 4:-0.1737 5:1 6:0.10819 7:1 8:0.38255 9:1 10:0.64628 11:1 12:0.89647 13:1 14:0.74468 15:1 16:1 17:1 18:1 19:0.77128 20:1 21:1 22:1 23:1 24:1 25:1 26:1 27:0.72973 28:1 29:0.4859 30:1 31:0.24168 32:1 33:0 34:1 
-1 1:1 2:-1 3:-1 4:1 5:1 6:1 7:1 8:1 9:-1 10:1 11:1 12:1 13:1 14:-1 15:1 16:-1 17:0 18:0 19:0 20:0 21:1 22:1 23:0 24:0 25:1 26:-1 27:1 28:1 29:-1 30:1 31:1 32:1 33:0 34:0 
1 1:-0.48252 2:1 3:-0.78555 4:1 5:-1 6:1 7:-0.81372 8:1 9:-0.58042 10:1 11:-1 12:1 13:-0.26573 14:1 15:-0.61538 16:1 17:0.04895 18:1 19:-0.15851 20:1 21:-0.40559 22:1 23:-1 24:1 25:0.2028 26:1 27:0.09557 28:1 29:0.62937 30:1 31:-0.06604 32:1 33:0 34:1 
-1 1:-1 2:1 3:1 4:1 5:-1 6:1 7:1 8:1 9:-1 10:1 11:1 12:1 13:1 14:1 15:-1 16:1 17:1 18:1 19:-1 20:1 21:-1 22:1 23:1 24:1 25:1 26:1 27:1 28:1 29:1 30:1 31:-1 32:1 33:0 34:0 
1 1:0.69509 2:-0.04023 3:0.77072 4:0.02735 5:0.71038 6:0.09694 7:0.73885 8:0.18765 9:0.76146 10:0.23693 11:0.68343 12:0.34232 13:0.66975 14:0.39903 15:0.64924 16:0.51247 17:0.642 18:0.60459 19:0.56476 20:0.70796 21:0.46983 22:0.70716 23:0.42196 24:0.78801 25:0.35197 26:0.84111 27:0.24618 28:0.89702 29:0.16251 30:0.92679 31:0.07804 32:0.92277 33:0 34:1 
-1 1:0.04586 2:-0.04013 3:0.07064 4:-0.04585 5:0.10349 6:-0.04779 7:0.14481 8:-0.04314 9:0.19405 10:-0.02862 11:0.24936 12:-8.3e-4 13:0.30745 14:0.04325 15:0.36353 16:0.10567 17:0.41168 18:0.18681 19:0.38869 20:0.0106 21:0.44523 22:0.0106 23:-0.15194 24:1 25:0.58304 26:0.25795 27:0.32862 28:0.46643 29:0.21908 30:0.82332 31:-0.17314 32:0.68198 33:0 34:1 
1 1:0.02959 2:0.56361 3:-0.14053 4:0.59024 5:-0.21154 6:0.5355 7:-0.06637 8:0.61009 9:0.02811 10:0.65385 11:-0.18639 12:0.34615 13:0.06953 14:0.78698 15:-0.01479 16:0.65976 17:-0.27811 18:0.7855 19:0.05178 20:0.73077 21:0.0784 22:0.71598 23:0.08728 24:0.63462 25:0.02515 26:0.85947 27:0.02811 28:0.80621 29:-0.05178 30:0.6568 31:-0.02811 32:0.74852 33:0 34:1 
-1 1:0.12755 2:0.34411 3:0.13521 4:0.39118 5:-0.02612 6:0.32463 7:0.1463 8:0.49309 9:0.16418 10:0.47015 11:0.45522 12:0.83209 13:0.14792 14:0.65574 15:-0.11567 16:0.46642 17:-0.10448 18:0.66791 19:0.6791 20:0.57836 21:-0.8209 22:0.61567 23:0.1306 24:0.54478 25:0.15299 26:0.35821 27:1 28:1 29:0.04328 30:0.97464 31:-0.06343 32:0.39179 33:0 34:1 
1 1:0.00755 2:0.73208 3:0.03774 4:0.86415 5:0.02264 6:0.66792 7:-0.05801 8:0.73886 9:-0.15094 10:0.84906 11:-0.14717 12:0.73962 13:-0.23774 14:0.75849 15:-0.07925 16:0.61887 17:0.08679 18:0.76981 19:-0.02264 20:0.72075 21:-0.13962 22:0.66792 23:0.01132 24:0.64528 25:-0.04528 26:0.66038 27:0.03774 28:0.77358 29:-0.10566 30:0.76981 31:0.04528 32:0.67547 33:0 34:1 
-1 1:1 2:1 3:0.14643 4:0.48927 5:0.08182 6:0.42273 7:0.14673 8:0.56982 9:0.32727 10:0.57273 11:-1 12:0.98636 13:-0.3 14:1 15:0.1 16:0.66818 17:0.21818 18:0.50455 19:1 20:0.56818 21:0.09559 22:0.81809 23:-0.16818 24:0.48182 25:-0.05909 26:0.66364 27:0.72727 28:1 29:0.03462 30:0.89241 31:-0.05 32:0.72727 33:0 34:1 
1 1:0.17255 2:0.43137 3:0.23529 4:0.45098 5:0.08235 6:0.46275 7:0.10039 8:0.48601 9:0.00392 10:0.49804 11:0.08235 12:0.58039 13:0.06667 14:0.45882 15:0 16:0.50196 17:0.01569 18:0.58039 19:-0.0549 20:0.52549 21:0.08235 22:0.46667 23:0.14118 24:0.56471 25:-0.05882 26:0.4 27:0.12941 28:0.38431 29:0 30:0.40392 31:-0.01569 32:0.57647 33:0 34:1 
-1 1:-0.06314 2:-0.00526 3:-0.07464 4:-0.02916 5:-1 6:-1 7:-0.07114 8:-0.09971 9:-0.04802 10:-0.14003 11:0.36364 12:-0.18636 13:0.05078 14:-0.20028 15:0.12727 16:-0.34773 17:0.40455 18:0.02727 19:0.27322 20:-0.1335 21:0.33636 22:-0.19091 23:0.36194 24:0.04517 25:0.44318 26:-0.03636 27:0.27955 28:0.23182 29:0.125 30:0.35 31:0.12482 32:0.41932 33:0 34:1 
1 1:0.54185 2:0.52361 3:0.70923 4:0.43026 5:0.58584 6:0.80901 7:0.53235 8:0.69811 9:0.52039 10:0.5676 11:0.34871 12:1 13:0.27575 14:0.73176 15:0.39056 16:0.7103 17:0.5794 18:0.69206 19:0.25322 20:0.77897 21:0.25 22:0.85193 23:-0.04292 24:0.90558 25:0.05901 26:0.85086 27:0.19206 28:0.82403 29:0.36373 30:1 31:-0.21996 32:0.88305 33:0 34:1 
-1 1:-0.59867 2:-0.18494 3:-0.7817 4:-0.21354 5:-0.14109 6:0.77884 7:-0.25288 8:0.70882 9:-0.03718 10:0.78932 11:0.80934 12:-0.34128 13:0.5081 14:-0.06959 15:-0.15729 16:0.77979 17:-0.11344 18:0.85701 19:-0.68065 20:-0.20019 21:0.63966 22:-0.18494 23:-0.00763 24:0.89514 25:0.04576 26:0.80648 27:-0.56435 28:-0.08961 29:-0.80553 30:-0.31745 31:-0.0858 32:0.84557 33:0 34:1 
1 1:0.14783 2:0.50435 3:-0.25217 4:0.64348 5:-0.04448 6:0.48348 7:-0.04264 8:0.4993 9:-0.12174 10:0.31304 11:-0.03845 12:0.53246 13:0.11739 14:0.26957 15:-0.26087 16:0.36087 17:-0.42609 18:0.38696 19:0.37826 20:0.50435 21:-0.23043 22:0.57826 23:0.26957 24:0.5 25:0.18261 26:0.65217 27:0.38261 28:0.45217 29:0.04348 30:0.64348 31:-0.24783 32:0.7087 33:0 34:1 
-1 1:-0.08978 2:0.52632 3:0.5582 4:0.02399 5:0.11146 6:-0.1517 7:-0.40116 8:0.41348 9:0.65635 10:1 11:-0.6161 12:-0.63777 13:0.07121 14:0.50464 15:0.03406 16:0.33746 17:0.45201 18:0.16409 19:-0.1548 20:0.56347 21:0.08978 22:0.47368 23:-0.1517 24:0.20743 25:-0.06811 26:0.31889 27:-0.13932 28:0.52012 29:0.73375 30:-0.33746 31:0.14861 32:-0.5418 33:0 34:1 
1 1:-0.03226 2:0.39559 3:-0.01868 4:0.70798 5:0.09847 6:0.34635 7:-0.03351 8:0.50369 9:-0.03176 10:0.51731 11:-0.20883 12:0.28183 13:0.06621 14:0.34975 15:-0.04244 16:0.42445 17:-0.22411 18:0.81664 19:0.03905 20:0.55518 21:-0.04754 22:0.47368 23:-0.16638 24:0.52462 25:0.20883 26:0.52632 27:-0.00509 28:0.51783 29:0.16808 30:0.45331 31:0.13582 32:0.29202 33:0 34:1 
-1 1:0 2:0 3:0.1286 4:-1 5:0.69401 6:-1 7:0.88248 8:-0.34146 9:0.8071 10:-0.91574 11:0.23725 12:-0.42572 13:0.38803 14:-0.102 15:0.84922 16:-0.50998 17:0.95122 18:-0.02661 19:0.1286 20:0.23725 21:0.53215 22:-0.02439 23:0.99557 24:0.38359 25:1 26:0.39468 27:0.06874 28:0.56541 29:0 30:0 31:0.16851 32:0.79157 33:0 34:1 
-1 1:-0.19904 2:-0.67699 3:-0.05525 4:-0.71475 5:0.11218 6:-0.72369 7:0.25835 8:-0.71844 9:0.39951 10:-0.68159 11:0.53805 12:-0.57135 13:0.65924 14:-0.46635 15:0.79617 16:-0.28739 17:0.87396 18:-0.12611 19:0.85038 20:0.06438 21:0.87493 22:0.24412 23:0.81152 24:0.44303 25:0.72997 26:0.59784 27:0.50515 28:0.7299 29:0.37379 30:0.79299 31:0.16607 32:0.90116 33:0 34:1 
1 1:-0.497 2:-0.59943 3:-0.33662 4:-0.67289 5:-0.19321 6:-0.82366 7:-0.01358 8:-0.83314 9:0.17849 10:-0.85376 11:0.33537 12:-0.77408 13:0.49508 14:-0.68274 15:0.79525 16:-0.52145 17:0.91624 18:-0.3202 19:0.8429 20:-0.13254 21:0.93945 22:0.10289 23:0.92643 24:0.31409 25:0.84278 26:0.47968 27:0.58732 28:0.71771 29:0.46259 30:0.82683 31:0.19049 32:0.97714 33:0 34:1 
-1 1:0 2:0 3:-1 4:1 5:-1 6:-1 7:-1 8:-1 9:-0.59609 10:1 11:-1 12:-1 13:-1 14:0.97068 15:-0.63518 16:0.36482 17:-0.2671 18:1 19:0 20:0 21:0 22:0 23:-0.41368 24:-1 25:0.32899 26:0.60586 27:-0.78502 28:0.50814 29:0 30:0 31:-1 32:-1 33:0 34:1 
1 1:0.15114 2:0.57455 3:0.14697 4:0.59759 5:0.17539 6:0.65707 7:0.13608 8:0.64158 9:0.15445 10:0.67016 11:0.12185 12:0.68183 13:0.11355 14:0.70021 15:0 16:0.63613 17:-0.07853 18:0.70681 19:0.08442 20:0.74695 21:0.07348 22:0.75934 23:0.31152 24:0.67801 25:0.09948 26:0.6623 27:0.03793 28:0.78575 29:0.02543 30:0.79074 31:0.04974 32:0.74084 33:0 34:1 
-1 1:0 2:0 3:-1 4:1 5:-1 6:1 7:-1 8:-1 9:-1 10:-1 11:-1 12:0.18382 13:0 14:0 15:-0.60294 16:0.73529 17:-0.77206 18:0.72059 19:0 20:0 21:0 22:0 23:-0.94853 24:-0.41912 25:0.55147 26:0.80882 27:-0.99265 28:0.77941 29:0 30:0 31:-1 32:1 33:0 34:1 
1 1:-0.23296 2:0.87011 3:-0.22561 4:0.96436 5:-0.17123 6:0.94599 7:-0.20243 8:0.9649 9:-0.22083 10:0.98971 11:-0.19272 12:1 13:-0.18519 14:1 15:-0.11813 16:0.9831 17:-0.14257 18:1 19:-0.15727 20:1 21:-0.09002 22:0.99173 23:-0.07092 24:0.99026 25:-0.05071 26:1 27:-0.03436 28:1 29:-0.03142 30:0.96215 31:0.01709 32:1 33:0 34:1 
-1 1:0 2:0 3:0 4:0 5:0 6:0 7:-1 8:1 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 
1 1:-0.41573 2:0.69531 3:-0.31857 4:0.89095 5:-0.23728 6:0.81428 7:-0.31565 8:0.88793 9:-0.19233 10:1 11:-0.39458 12:0.93126 13:-0.27165 14:1 15:-0.21018 16:0.98678 17:-0.21216 18:0.99273 19:-0.31395 20:1 21:-0.24719 22:0.83543 23:-0.01124 24:0.92003 25:0.0846 26:0.97026 27:-0.18242 28:0.96365 29:-0.1269 30:0.63318 31:-0.12095 32:0.95704 33:0 34:1 
-1 1:0 2:0 3:-0.70076 4:0.16288 5:-0.48485 6:0.06061 7:-0.23864 8:1 9:0.17803 10:0.24242 11:0 12:0 13:0 14:0 15:-0.80682 16:0.45076 17:-0.35985 18:0.59091 19:0 20:0 21:-0.84848 22:0.34848 23:0.06439 24:0.64394 25:0.95833 26:0.30682 27:-1 28:0.68182 29:0 30:0 31:-0.31818 32:0.28409 33:0 34:1 
1 1:-0.44739 2:1 3:-0.4074 4:1 5:-0.36931 6:1 7:-0.33304 8:1 9:-0.29852 10:1 11:-0.26571 12:1 13:-0.23452 14:1 15:-0.20491 16:1 17:-0.17681 18:1 19:-0.15017 20:1 21:-0.12493 22:1 23:-0.10104 24:1 25:0.66942 26:0.90083 27:-0.87052 28:0.98898 29:-0.03692 30:1 31:-0.49311 32:0.9449 33:0 34:1 
-1 1:0 2:0 3:0 4:0 5:0 6:0 7:0.10976 8:1 9:0 10:0 11:0 12:0 13:0 14:0 15:-1 16:0.56098 17:-0.71951 18:0.36585 19:0 20:0 21:0 22:0 23:1 24:0.62195 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:1 
1 1:-0.27794 2:0.76586 3:-0.25741 4:0.80253 5:-0.16581 6:0.94294 7:-0.17806 8:0.87579 9:-0.19872 10:0.93368 11:-0.05882 12:0.87836 13:7.5e-4 14:0.89876 15:-0.08935 16:0.98298 17:-0.12977 18:0.93881 19:-0.20848 20:0.87161 21:0.02966 22:0.85221 23:-0.07496 24:0.96484 25:-0.06257 26:0.99061 27:-0.16431 28:0.88237 29:-0.11313 30:0.84082 31:0.00526 32:0.99449 33:0 34:1 
-1 1:0 2:0 3:0 4:0 5:-0.23649 6:0.55405 7:-1 8:1 9:-1 10:-0.42568 11:0 12:0 13:0 14:0 15:-1 16:0.33108 17:-1 18:0.37162 19:0 20:0 21:0 22:0 23:1 24:0.31081 25:0.82432 26:0.5473 27:0 28:0 29:0 30:0 31:0.10811 32:0.10135 33:0 34:1 
1 1:-0.76112 2:0.30445 3:-1 4:1 5:-1 6:0.8102 7:-0.77986 8:0.53777 9:-0.76904 10:0.61946 11:-0.74896 12:0.7012 13:-1 14:0.96601 15:-0.88952 16:0.76771 17:-0.79603 18:1 19:-0.57535 20:1 21:-0.86402 22:0.6289 23:-0.23229 24:1 25:-0.35818 26:1 27:-0.9745 28:0.89518 29:-0.73371 30:0.9915 31:-0.57224 32:1 33:0 34:1 
-1 1:0 2:0 3:0 4:0 5:-0.93182 6:-0.12879 7:-0.93939 8:1 9:0 10:0 11:0 12:0 13:-1 14:1 15:-1 16:0.84091 17:-0.22727 18:0.62121 19:0 20:0 21:0 22:0 23:-0.2803 24:1 25:1 26:0.77273 27:0 28:0 29:0 30:0 31:-0.62879 32:0.65909 33:0 34:1 
1 1:-0.31954 2:-0.42912 3:-0.19923 4:-0.54866 5:-0.07816 6:-0.57241 7:0.08818 8:-0.63038 9:0.25747 10:-0.59234 11:0.40996 12:-0.6023 13:0.56092 14:-0.48199 15:0.65747 16:-0.341 17:0.75785 18:-0.17241 19:0.86284 20:-0.04061 21:0.85671 22:0.19617 23:0.81533 24:0.36705 25:0.69962 26:0.54559 27:0.55785 28:0.67203 29:0.41149 30:0.8092 31:0.1931 32:0.86284 33:0 34:1 
-1 1:0 2:0 3:0 4:0 5:0 6:0 7:0.22 8:1 9:0.68 10:0.21 11:0 12:0 13:0 14:0 15:-1 16:0.84 17:-0.29 18:0.67 19:0 20:0 21:0 22:0 23:0.64 24:0.43 25:1 26:0.9 27:-1 28:1 29:0 30:0 31:-0.61 32:0.42 33:0 34:1 
1 1:-0.53319 2:-0.37432 3:-0.44505 4:-0.51251 5:-0.28183 6:-0.64962 7:-0.11943 8:-0.71731 9:0.03591 10:-0.70838 11:0.29162 12:-0.74102 13:0.44614 14:-0.64527 15:0.64527 16:-0.5136 17:0.75517 18:-0.34168 19:0.91404 20:-0.2198 21:0.88248 22:0.09467 23:0.9173 24:0.27639 25:0.84222 26:0.4766 27:0.72144 28:0.7802 29:0.52013 30:0.91404 31:0.23395 32:1 33:0 34:1 
-1 1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:-1.0e-5 9:2.0e-5 10:-3.0e-5 11:1.9e-4 12:-3.0e-5 13:7.5e-4 14:4.8e-4 15:9.7e-4 16:0.00342 17:-0.00537 18:0.01108 19:-0.03403 20:0.01401 21:-0.0897 22:-0.03158 23:-0.10241 24:-0.18599 25:0.2973 26:0.05405 27:0.55735 28:-0.39466 29:1 30:-0.72973 31:0.81586 32:0.91353 33:0 34:1 
1 1:-0.01877 2:0.14694 3:-0.02034 4:0.16997 5:0 6:0.19048 7:-0.0229 8:0.22109 9:-0.04762 10:0.35714 11:-0.11905 12:0.21429 13:0 14:0.30952 15:0.04762 16:0.33333 17:-0.11905 18:0.28571 19:-0.04762 20:0.30952 21:-0.04762 22:0.30952 23:0.02381 24:0.40476 25:0.09524 26:0.2381 27:0.19048 28:0.19048 29:0.07143 30:0.33333 31:-0.09524 32:0.21429 33:0 34:1 
-1 1:-0.06557 2:0.4918 3:-0.44262 4:0.27869 5:-0.03279 6:0.32787 7:-0.20325 8:0.52385 9:-0.34426 10:0.31148 11:-0.29508 12:1 13:0.03279 14:0.67213 15:-0.17176 16:0.65558 17:-0.14754 18:0.19672 19:-0.16393 20:0.68852 21:0 22:0.72131 23:-0.03279 24:0.85246 25:0.01639 26:0.65574 27:-0.01639 28:0.57377 29:0.04918 30:1 31:-0.14754 32:1 33:0 34:1 
1 1:0.17077 2:0.5884 3:0.16465 4:0.60715 5:0.02727 6:0.67273 7:0.15088 8:0.64581 9:0.22727 10:0.74545 11:0.13493 12:0.68604 13:0.12608 14:0.70674 15:0.12727 16:0.68182 17:0.25455 18:0.62727 19:0.09579 20:0.77118 21:0.08436 22:0.79343 23:0.04545 24:0.69091 25:0 26:0.8 27:0.04572 28:0.86249 29:0.03131 30:0.88627 31:0 32:0.98182 33:0 34:1 
-1 1:-0.55837 2:0.25441 3:-0.29915 4:-0.54891 5:0.39286 6:0.57143 7:0.38848 8:0.51971 9:0.70238 10:0.32143 11:-0.47594 12:-0.47651 13:0.44961 14:-0.5183 15:0.05952 16:0.54762 17:0.15476 18:0.46429 19:-0.63668 20:-0.34797 21:0.30729 22:-0.6723 23:0.40476 24:0.82143 25:0.0119 26:0.66667 27:-0.76378 28:-0.16628 29:0.11342 30:-0.78824 31:0.52381 32:0.39286 33:0 34:1 
1 1:-0.44222 2:1 3:-0.15609 4:1 5:-0.14667 6:0.82222 7:-0.14162 8:1 9:0.03556 10:0.84444 11:-0.18667 12:1 13:-0.11526 14:1 15:-0.03778 16:0.88 17:0.05333 18:0.86889 19:-0.2 20:1 21:-0.07287 22:1 23:-0.06444 24:0.83556 25:0.00222 26:0.87778 27:-0.06889 28:1 29:-0.02494 30:1 31:-0.07111 32:0.86889 33:0 34:1 
-1 1:-0.29091 2:0.29091 3:-0.36364 4:0.12727 5:-0.05455 6:0.34545 7:-0.07027 8:0.41098 9:0.16364 10:0.32727 11:0.16364 12:0.61818 13:0.49091 14:0.12727 15:0.05455 16:0.36364 17:-0.01818 18:0.2 19:-0.41818 20:0.36364 21:0.29091 22:0.29091 23:-0.05455 24:0.29091 25:-0.03636 26:0.34545 27:-0.67273 28:0.18182 29:-0.14545 30:0.58182 31:-0.12727 32:0.43636 33:0 34:1 
1 1:-0.11321 2:0.43396 3:0.43396 4:1 5:-1 6:0.9434 7:-0.00128 8:0.92192 9:0.79245 10:1 11:-0.00112 12:0.9519 13:0.07547 14:0.5283 15:0 16:0.5283 17:-8.5e-4 18:0.98878 19:-0.0566 20:0.62264 21:0.07547 22:0.45283 23:-5.4e-4 24:1 25:0 26:0.62264 27:-0.0566 28:0.49057 29:0.75472 30:1 31:-0.92453 32:1 33:0 34:1 
-1 1:0.02381 2:0.2619 3:-0.04762 4:-0.66667 5:0 6:1 7:-0.51079 8:0.24889 9:-0.10234 10:-0.57255 11:-0.2619 12:0.16667 13:0.04762 14:0.45238 15:0.02381 16:0.2381 17:0.51163 18:-0.38214 19:-0.07143 20:0.28571 21:0 22:0.33333 23:0.12808 24:-0.67285 25:-0.14286 26:0.45238 27:-0.14286 28:0.33333 29:-0.2381 30:-0.7619 31:0.83333 32:0.7381 33:0 34:1 
1 1:-0.0625 2:0.33333 3:-0.3125 4:0.58333 5:-0.08333 6:0.41667 7:-0.10064 8:0.44012 9:-0.1875 10:0.39583 11:0.1875 12:0.25 13:0.08333 14:0.33333 15:-0.22917 16:0.35417 17:-0.22917 18:0.4375 19:0.02083 20:0.54167 21:0.10417 22:0.29167 23:0 24:0.47917 25:-0.0625 26:0.33333 27:0 28:0.39583 29:-0.10417 30:0.58333 31:0.04167 32:0.4375 33:0 34:1 
-1 1:0 2:0 3:0 4:0 5:1 6:1 7:-1 8:1 9:-1 10:-1 11:0.20301 12:0.6203 13:0 14:0 15:0 16:0 17:1 18:0.64662 19:0.28571 20:-0.95489 21:0.45489 22:-0.51504 23:-0.89098 24:0.47744 25:0 26:0 27:0 28:0 29:0 30:0 31:1 32:1 33:0 34:1 
1 1:0.37191 2:0.18632 3:0.3962 4:0.23405 5:1 6:0.9033 7:0.43221 8:0.34374 9:0.44199 10:0.4044 11:0.44511 12:0.46773 13:0.44088 14:0.53258 15:0.59862 16:0.95472 17:0.40844 18:0.66145 19:0.37988 20:0.72254 21:0.34328 22:0.77937 23:0.6132 24:0.90023 25:-0.49962 26:0.84881 27:0.19152 28:0.90996 29:0.1303 30:0.93614 31:0.06595 32:0.95217 33:0 34:1 
-1 1:0.68822 2:0.81979 3:0.81007 4:0.87757 5:0.42677 6:0.62958 7:0.17076 8:1 9:-0.30063 10:0.28604 11:-0.85755 12:0.8667 13:-0.69594 14:0.98484 15:0.18135 16:0.88673 17:-0.05206 18:0.95452 19:0.88444 20:0.91962 21:-0.85727 22:0.95824 23:0.07981 24:0.97311 25:-0.10984 26:0.8401 27:0.70709 28:0.76001 29:0.80521 30:0.82809 31:0.40332 32:0.5984 33:0 34:1 
1 1:-0.06888 2:0.93144 3:-0.10797 4:1 5:0.01307 6:0.90978 7:-0.06995 8:0.95677 9:-0.15675 10:0.91567 11:-0.05318 12:0.97889 13:-0.09284 14:0.9762 15:0.01557 16:0.9384 17:-0.05179 18:1 19:-0.05343 20:1 21:-0.03096 22:0.9798 23:-0.02716 24:0.98955 25:-0.09316 26:0.96974 27:0.02555 28:0.98313 29:-0.01918 30:1 31:0.10129 32:0.95882 33:0 34:1 
-1 1:0 2:0 3:0.61881 4:0.04447 5:0 6:0 7:-1 8:1 9:0 10:0 11:-1 12:-0.18043 13:0 14:0 15:0 16:0 17:0.16391 18:0.94155 19:0.65565 20:-0.30241 21:-0.59212 22:-0.26048 23:0.31385 24:0.97078 25:-1 26:0.68869 27:0 28:0 29:0.85388 30:-0.33672 31:0 32:0 33:0 34:1 
